COUNTRY,PROVINCE,DISTRICT,DIVI_WOR,IBLI_UNIT,IBLI_ID,Aug/Sep2014,,,,,Jan/Feb2014,,,,,Aug/Sep2013,,,,,Jan/Feb2013,,,,,Aug/Sep2012,,,,,Jan/Feb2012,,,,
,,,,,,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate,10rate,15rate,20rate,25rate,30rate
KENYA,EASTERN,MOYALE,URAN,URAN,62,0.06172,0.0713,0.07777,0.08994,0.09757,0.06297,0.0735,0.07937,0.09246,0.0972,0.06297,0.0735,0.07937,0.09246,0.0972,0.06428,0.07315,0.08495,0.09155,0.09934,0.06428,0.07315,0.08495,0.09155,0.09934,0.06588,0.0754,0.08718,0.0944,0.10228
KENYA,EASTERN,MOYALE,OBBU,OBBU,63,0.06676,0.08291,0.09981,0.1078,0.11583,0.06774,0.08327,0.10289,0.11051,0.11603,0.06774,0.08327,0.10289,0.11051,0.11603,0.06869,0.08014,0.10617,0.11005,0.11988,0.06869,0.08014,0.10617,0.11005,0.11988,0.06957,0.08255,0.10968,0.1138,0.12399
KENYA,RIFT VALLEY,SAMBURU,BARAGOI,BARAGOI,64,0.05318,0.08659,0.09201,0.1039,0.121,0.05288,0.08894,0.0949,0.10566,0.11621,0.05288,0.08894,0.0949,0.10566,0.11621,0.05234,0.08809,0.09797,0.10417,0.1199,0.05234,0.08809,0.09797,0.10417,0.1199,0.05152,0.08841,0.10126,0.1069,0.12386
KENYA,RIFT VALLEY,SAMBURU,WASO,WASO,65,0.06443,0.08322,0.08783,0.09548,0.10534,0.06492,0.08587,0.09036,0.09796,0.10622,0.06492,0.08587,0.09036,0.09796,0.10622,0.06527,0.08538,0.09305,0.09725,0.10824,0.06527,0.08538,0.09305,0.09725,0.10824,0.06543,0.08672,0.09592,0.10059,0.1105
KENYA,RIFT VALLEY,SAMBURU,WAMBA,WAMBA,66,0.04767,0.05479,0.0584,0.0707,0.08944,0.0492,0.05648,0.06025,0.07066,0.08736,0.0492,0.05648,0.06025,0.07066,0.08736,0.05082,0.05494,0.06223,0.06777,0.08836,0.05082,0.05494,0.06223,0.06777,0.08836,0.05256,0.05673,0.06435,0.0692,0.08956
KENYA,RIFT VALLEY,SAMBURU,NYIRO,NYIRO,67,0.06526,0.07896,0.09455,0.1116,0.1335,0.06736,0.07963,0.09712,0.11495,0.13021,0.06736,0.07963,0.09712,0.11495,0.13021,0.0696,0.07685,0.09985,0.11518,0.13033,0.0696,0.07685,0.09985,0.11518,0.13033,0.072,0.07838,0.10276,0.11558,0.13034
KENYA,RIFT VALLEY,SAMBURU,LORROKI,LORROKI,68,0.05213,0.06581,0.08423,0.10039,0.12094,0.0528,0.06731,0.0835,0.09993,0.1202,0.0528,0.06731,0.0835,0.09993,0.1202,0.05345,0.06575,0.08302,0.0958,0.12266,0.05345,0.06575,0.08302,0.0958,0.12266,0.0541,0.06746,0.08277,0.09887,0.12526
KENYA,RIFT VALLEY,SAMBURU,KIRISIA,KIRISIA,69,0.05919,0.07276,0.08184,0.11766,0.15582,0.05898,0.07449,0.08436,0.11909,0.14829,0.05898,0.07449,0.08436,0.11909,0.14829,0.05849,0.07297,0.08705,0.11717,0.14542,0.05849,0.07297,0.08705,0.11717,0.14542,0.05762,0.0753,0.08992,0.11419,0.14293
KENYA,COAST,TANA RIVER,TSAVO E  N .PARK,TSAVO E  N .PARK,70,0.06398,0.07542,0.08875,0.10226,0.11289,0.06445,0.07747,0.0897,0.10394,0.11252,0.06445,0.07747,0.0897,0.10394,0.11252,0.06477,0.07631,0.09079,0.10235,0.1194,0.06477,0.07631,0.09079,0.10235,0.1194,0.06489,0.07885,0.09186,0.10509,0.12173
KENYA,COAST,TANA RIVER,BANGALE,BANGALE,71,0.05561,0.08345,0.09614,0.11315,0.16973,0.05671,0.08583,0.10012,0.13121,0.16811,0.05671,0.08583,0.10012,0.13121,0.16811,0.05821,0.08502,0.09967,0.15393,0.18915,0.05821,0.08502,0.09967,0.15393,0.18915,0.06,0.08536,0.1001,0.15104,0.18145
