adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
71,91862,-8.56174,7.09124,21.4232,5.15106,11.3272,9.32022,1.75058,6.32744,-6.34209,-14.4085,-12.9090,11.0496,10.1264,0.967263,2.37598,-8.90188,-11.6126,-0.401271,14.5443,-13.4930,-22.1223,0.145931,-6.95710,-8.23547,1.54001,-10.4545
72,71859,1.20538,5.03213,14.3548,12.0677,11.4809,2.47226,-3.95604,-1.39260,-12.7266,-15.1537,-12.6485,14.0826,3.98643,6.26967,12.4732,-9.32970,-15.8807,-1.41375,18.7480,-12.3360,-17.0370,5.02672,-9.67904,-6.50844,22.7117,-8.69300
73,29039,-12.6650,7.09880,14.9385,9.28862,18.9705,2.54185,-4.12410,-6.46994,-14.2206,-13.2112,-13.8839,10.8106,8.05441,2.22986,7.19875,-9.28140,-12.9900,5.86946,24.0554,-12.3603,-15.3339,9.30506,-4.43856,-6.12809,11.4959,-11.6134
74,128851,-1.81241,1.14235,7.21971,15.3582,11.4928,3.83567,5.53900,0.999954,-2.94180,-12.0950,-3.11611,10.5804,1.18241,0.546714,2.11597,-8.75915,-17.5146,-0.917581,16.1262,-10.8998,-18.2912,4.05402,-9.50797,-4.69195,7.32083,-10.5487
75,7501,-0.173952,-4.22228,-2.75618,10.2216,2.99189,-2.71752,7.83285,-2.24624,-8.07957,-9.76415,0.691594,11.5674,13.8715,8.33709,6.09001,-9.74610,-8.91524,3.11360,9.41600,-12.1586,-20.9689,7.74577,-19.3165,-13.7732,-8.01104,-17.3927
76,9142,4.39543,-2.59236,-0.432636,10.0015,5.20327,0.826921,1.35499,4.97089,3.55091,-9.78561,0.0763569,13.4552,9.80575,6.87768,4.19808,-7.43641,-12.4192,-0.0691108,7.84933,-13.6578,-23.5736,-0.413137,-25.9754,-7.21134,-0.141151,-8.62278
77,165045,-5.02536,-5.88636,-4.21956,14.1521,8.51468,-0.836339,5.48225,2.55682,1.73941,-8.83626,-6.43667,14.8127,14.5305,3.99031,8.52903,-8.18564,-14.7372,0.304402,7.32581,-11.5128,-15.7026,0.170968,-12.6830,-4.16001,-1.01136,-5.38189
78,51159,-6.11030,-5.23687,2.56763,3.67155,6.07313,-5.11984,-9.71179,3.22960,12.4811,-8.84303,-4.87829,12.7880,15.8842,-1.46018,-11.3713,1.95039,-15.1610,-4.63842,19.0068,-5.75350,-8.78028,15.8177,29.9199,14.6253,17.3730,-1.10784
79,26684,-17.0796,-15.4334,2.73470,5.13815,20.6085,1.92667,3.12608,13.8109,8.72074,-6.45698,-0.549491,6.38558,9.96323,-1.81518,-9.32159,0.975342,-17.7619,-2.68110,10.1400,-7.42112,-10.5808,17.6541,25.6777,4.86095,24.2246,2.90585
80,23386,-8.28800,-11.1185,4.94283,0.308857,15.9402,3.06029,-1.32293,0.799535,-8.37583,-10.8229,-3.62377,-2.76565,10.2038,7.30250,-8.24234,6.59137,-12.5416,0.649307,17.6282,-2.63275,-6.32048,23.5113,15.7995,2.50214,17.5348,2.41524
81,112911,-12.7410,-7.38929,-0.300224,5.72846,8.89944,-4.55029,-7.57963,0.523572,9.60677,-10.4049,-7.82034,14.4034,25.7770,1.92474,-8.35911,2.79522,-10.4222,0.276215,16.4026,-9.13158,-13.4633,11.7250,20.6769,8.47054,12.6402,-4.68914
82,74798,-10.4670,-1.78516,1.39939,0.588503,4.88130,-7.57189,-10.5507,0.00872232,8.23470,-10.3581,-8.49624,17.0402,19.1507,1.18546,-8.56705,5.26466,-16.8659,-1.27314,21.3222,-8.99940,-0.0416390,11.1377,22.1081,13.2151,14.8341,-0.158080
83,58893,-4.09469,-3.47908,-5.88409,-4.92897,-1.63471,-5.22107,-2.36838,-2.32701,2.96990,-5.11109,-7.98185,9.94453,14.5797,1.80736,-6.32667,4.35110,-16.5476,1.98179,20.0816,-6.79469,7.20688,16.0783,17.4172,5.80206,11.7937,1.64171
84,72875,-11.5503,-12.2315,-2.53004,-3.99083,4.28138,-5.17284,-5.70091,2.54941,1.77943,-8.37327,-9.18495,11.9823,23.4585,5.15094,-5.68773,6.41574,-12.5834,1.95746,22.9889,-4.56562,-5.27120,14.8490,15.8234,9.17051,18.6745,1.62265
85,92798,-6.72100,-9.10695,0.122866,-3.30741,-1.40052,-4.05200,-1.84181,-3.83083,-4.87630,-9.52167,-6.70850,6.57313,16.6759,4.87563,-4.97508,7.76534,-14.2472,4.71956,20.0090,-4.07997,3.96248,20.8992,23.4564,7.50871,17.6126,4.67192
86,25176,-14.1108,-15.1631,-9.35955,4.89038,13.4358,-5.39616,-7.19070,7.30608,9.31271,-10.9187,-2.52902,7.46679,18.4167,2.49535,-5.18457,5.08388,-11.4322,2.12040,20.1017,-6.64882,-11.4601,13.0098,24.8402,8.94237,15.1710,-4.89084
87,112896,-7.06293,3.05866,0.811740,6.10465,0.0484575,-9.84629,-10.1319,-3.34946,4.39001,-9.42353,-7.90226,17.2575,27.4781,0.284819,-5.76782,3.32938,-7.52406,-2.68586,13.9458,-7.40537,-8.28524,8.90166,27.7388,20.0399,18.8050,-0.475584
88,47620,-9.36518,-5.96156,-3.43749,-5.39232,3.23955,-6.40223,-12.5241,-0.988191,1.35467,-9.90494,-12.9708,16.0193,21.2619,2.61233,-3.32381,5.45428,-10.0517,2.51927,23.0829,-6.58480,2.73411,17.6521,26.1397,15.9034,27.1263,10.8124
89,33975,-11.1737,-10.6796,-0.397101,7.24231,20.5406,2.14259,-8.96458,6.47297,8.27030,-9.25885,-5.61225,8.69122,20.5659,-0.974680,-9.70349,-5.10206,-14.6857,1.01480,16.6996,-7.32024,-15.5397,14.3615,18.1639,1.89196,2.96776,-5.39591
90,48211,-11.3881,-13.8105,0.444964,-0.867592,3.61309,-6.43895,-2.76189,-2.43382,-7.34731,-7.10027,-2.82838,5.53363,19.3486,7.86951,-1.97354,11.6376,-12.8808,5.45101,18.7121,-5.98177,-2.93879,16.7593,10.2793,2.53871,12.7847,1.07645
